,Name,top_tackles_won
367,R. Fraser ,2
368,K. Mbabu ,2
369,Fábio Vieira ,2
370,A. Isak ,2
371,L. Kurzawa ,2
372,Kepa A. ,2
373,J. Hodge ,2
374,Toti ,2
375,Cristiano Ronaldo ,2
376,C. Jones ,2
377,T. Walcott ,2
378,R. Fredericks ,2
379,A. Laporte ,2
380,J. Gelhardt ,2
381,J. Tanganga ,2
382,D. Gyabi ,2
383,B. Doak ,2
384,M. Solomon ,2
385,C. Alcaraz ,2
386,J. Tomkins ,2
387,Felipe ,2
388,S. Lukic ,2
389,E. Smith Rowe ,1
390,N. Phillips ,1
391,Mohamed Elneny ,1
392,R. Holding ,1
393,C. Palmer ,1
394,G. Biancone ,1
395,J. Mateta ,1
396,A. Broja ,1
397,N. Chalobah ,1
398,M. Cornet ,1
399,L. Augustinsson ,1
400,Carlos Vinícius ,1
401,J. Riedewald ,1
402,C. Wilson ,1
403,A. Ramsdale ,1
404,D. Calvert-Lewin ,1
405,M. Ebiowei ,1
406,C. Campbell ,1
407,Ç. Söyüncü ,1
408,H. Lloris ,1
409,B. Gil ,1
410,A. Garnacho Ferreyra ,1
411,S. Surridge ,1
412,L. Samuels Colwill ,1
413,D. Ward ,1
414,J. Lowe ,1
415,S. Dembélé ,1
416,A. Forshaw ,1
417,M. Sanson ,1
418,Gustavo Scarpa ,1
419,M. Albrighton ,1
420,J. van Hecke ,1
421,M. Orsic ,1
422,J. Rothwell ,1
423,M. Viña ,1
424,K. Iheanacho ,1
425,A. Ayew ,1
426,João Gomes ,1
427,K. Sulemana ,1
428,David Datro Fofana ,1
429,Matt Ritchie ,1
430,Matheus Cunha ,1
