,Name,top_fouls_won
345,Neto ,3
346,L. Augustinsson ,3
347,T. Alexander-Arnold ,3
348,S. Canós ,3
349,M. Rasmussen ,3
350,Lucas Moura ,3
351,Zanka ,3
352,A. Laporte ,3
353,L. Samuels Colwill ,3
354,P. Sarr ,3
355,B. Badiashile ,3
356,A. Doucouré ,3
357,M. Lemina ,3
358,G. Rutter ,3
359,A. Ogbonna ,3
360,J. Tanganga ,3
361,P. Porro ,3
362,H. Traore ,3
363,David Datro Fofana ,3
364,V. van Dijk ,3
365,O. Romeu ,2
366,H. Maguire ,2
367,B. Pearson ,2
368,Matt Targett ,2
369,J. Worrall ,2
370,L. Kelly ,2
371,E. Mendy ,2
372,H. Lloris ,2
373,J. Lascelles ,2
374,R. Varane ,2
375,J. Vardy ,2
376,D. Llorente ,2
377,Ederson ,2
378,D. Raya Martin ,2
379,M. Cornet ,2
380,M. Albrighton ,2
381,S. Ghoddos ,2
382,C. Chukwuemeka ,2
383,Toti ,2
384,L. Milivojevic ,2
385,S. Cook ,2
386,Boubacar Traoré ,2
387,S. Greenwood ,2
388,Fábio Vieira ,2
389,R. Nelson ,2
390,M. Sanson ,2
391,D. de Gea ,2
392,S. Dembélé ,2
393,D. van de Beek ,2
394,I. Perisic ,2
395,B. Gil ,2
396,D. Zakaria ,2
397,E. Ferguson ,2
398,T. Cannon ,2
399,N. Keita ,2
400,J. Pickford ,2
401,João Gomes ,2
402,G. Bazunu ,2
403,H. Souttar ,2
404,S. Lukic ,2
405,J. Firpo ,2
406,Dele Alli ,1
407,A. Mighten ,1
408,C. Campbell ,1
409,D. Henderson ,1
410,E. Camargo Hansen ,1
411,S. Duffy ,1
412,J. Stansfield ,1
413,E. Mwepu ,1
414,R. Fredericks ,1
415,B. Leno ,1
416,S. Kalajdzic ,1
417,P. Jansson ,1
418,J. Bednarek ,1
419,P. Aubameyang ,1
420,D. Caleta-Car ,1
421,C. Archer ,1
422,Dan Burn ,1
423,D. Undav ,1
424,M. Ebiowei ,1
425,J. Enciso ,1
426,F. Forster ,1
427,J. Hodge ,1
428,D. Mubama ,1
429,D. Gyabi ,1
430,K. Iheanacho ,1
431,A. Wan-Bissaka ,1
432,B. Godfrey ,1
433,Mohamed Elneny ,1
434,B. Doak ,1
435,C. Richards ,1
436,W. Hennessey ,1
437,Danilo ,1
438,L. Brunt ,1
439,J. Rothwell ,1
440,J. Durán ,1
441,K. Sulemana ,1
442,A. Ayew ,1
443,F. Pellistri ,1
444,J. Tomkins ,1
445,C. Alcaraz ,1
446,J. Stephens ,1
447,M. Sabitzer ,1
448,C. Chambers ,1
449,K. Schade ,1
450,T. Walcott ,1
451,V. Lindelöf ,1
452,M. Solomon ,1
453,M. Wöber ,1
454,K. Phillips ,1
